Metropolitan Area,City,STATE,Metro / Micro,Customers (State Level),Gross Sales (State Level),Total households,Owner-occupied housing units with a mortgage,"VALUE!!$1,000,000 or more",% Houses >$1m,VALUE!!Median (dollars)
"Salinas, CA Metro Area",Salinas,CA,Metro,18,43250,132489,43288,12088,0.27924598,797900
"Santa Rosa-Petaluma, CA Metro Area",Santa Rosa-Petaluma,CA,Metro,18,43250,190998,78812,21538,0.273283256,826500
"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle-Tacoma-Bellevue,WA,Metro,6,7600,1608596,679701,179985,0.264800258,729300
"Rifle, CO Micro Area",Rifle,CO,Micro,3,9021,32619,14068,3442,0.244668752,601000
"Bridgeport-Stamford-Danbury, CT Metro Area",Bridgeport-Stamford-Danbury,CT,Metro,0,0,355012,154892,33245,0.214633422,584900
"Hailey, ID Micro Area",Hailey,ID,Micro,20,30671,12631,4887,1046,0.214037242,633600
"Hood River, OR Micro Area",Hood River,OR,Micro,0,0,8939,3594,746,0.207568169,697300
"Bozeman, MT Metro Area",Bozeman,MT,Metro,18,43250,51215,19529,3749,0.191970915,662600
"Naples-Marco Island, FL Metro Area",Naples-Marco Island,FL,Metro,6,12660,165875,59476,10685,0.179652297,531600
"Truckee-Grass Valley, CA Micro Area",Truckee-Grass Valley,CA,Micro,0,0,42865,19797,3527,0.178158307,651900
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston-Cambridge-Newton,MA-NH,Metro,18,43250,1940688,805549,140459,0.174364316,654800
"New York-Newark-Jersey City, NY-NJ Metro Area",New York-Newark-Jersey City,NY-NJ,Metro,6,7600,7409947,2329984,390378,0.167545357,625800
"Fredericksburg, TX Micro Area",Fredericksburg,TX,Micro,0,0,11513,3669,581,0.158353775,525700
"Bend, OR Metro Area",Bend,OR,Metro,6,7600,104529,48739,7130,0.146289419,603900
"Hilo-Kailua, HI Micro Area",Hilo-Kailua,HI,Micro,50,336933,74072,29803,4338,0.145555817,565400
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington-Arlington-Alexandria,DC-VA-MD-WV,Metro,18,43250,2373022,1132737,163996,0.144778532,586700
"Barnstable Town, MA Metro Area",Barnstable Town,MA,Metro,18,43250,105777,49930,7179,0.143781294,616400
"Gardnerville Ranchos, NV-CA Micro Area",Gardnerville Ranchos,NV-CA,Micro,4,3425,21760,10107,1389,0.137429504,602500
"Durango, CO Micro Area",Durango,CO,Micro,0,0,24378,10016,1354,0.135183706,624300
"Sheridan, WY Micro Area",Sheridan,WY,Micro,2,1200,13845,5515,681,0.123481414,416700
"Sandpoint, ID Micro Area",Sandpoint,ID,Micro,0,0,20283,8298,998,0.120269945,519200
"Easton, MD Micro Area",Easton,MD,Micro,3,12150,16433,7551,894,0.118394915,430700
"Denver-Aurora-Centennial, CO Metro Area",Denver-Aurora-Centennial,CO,Metro,2,2325,1221636,571447,66966,0.117186721,610900
"Port Townsend, WA Micro Area",Port Townsend,WA,Micro,0,0,16340,6046,676,0.111809461,565500
"Bremerton-Silverdale-Port Orchard, WA Metro Area",Bremerton-Silverdale-Port Orchard,WA,Metro,6,7600,108537,51709,5743,0.111063838,559400
"Oak Harbor, WA Micro Area",Oak Harbor,WA,Micro,0,0,35972,16065,1772,0.110301899,585000
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",Hilton Head Island-Bluffton-Port Royal,SC,Metro,3,3820,95451,41839,4605,0.110064772,442900
"Santa Fe, NM Metro Area",Santa Fe,NM,Metro,3,2610,70767,26786,2893,0.108004181,465700
"Kalispell, MT Micro Area",Kalispell,MT,Micro,50,336933,44233,19146,2052,0.107176434,543800
"Sacramento-Roseville-Folsom, CA Metro Area",Sacramento-Roseville-Folsom,CA,Metro,1,425,881889,381906,38691,0.10131027,604100
"Austin-Round Rock-San Marcos, TX Metro Area",Austin-Round Rock-San Marcos,TX,Metro,0,0,989434,383890,37255,0.097046029,476400
"Mount Vernon-Anacortes, WA Metro Area",Mount Vernon-Anacortes,WA,Metro,6,12660,52329,22729,2144,0.094328831,557400
"Charleston-North Charleston, SC Metro Area",Charleston-North Charleston,SC,Metro,18,43250,335865,151712,14247,0.093908194,399700
"Bellingham, WA Metro Area",Bellingham,WA,Metro,0,0,94021,37563,3467,0.092298272,601100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Miami-Fort Lauderdale-West Palm Beach,FL,Metro,0,0,2334797,802218,73280,0.091346741,462800
"Coeur d'Alene, ID Metro Area",Coeur d'Alene,ID,Metro,50,336933,71172,32060,2829,0.088240799,527800
"Crestview-Fort Walton Beach-Destin, FL Metro Area",Crestview-Fort Walton Beach-Destin,FL,Metro,1,425,119773,51262,4329,0.084448519,378900
"Reno, NV Metro Area",Reno,NV,Metro,0,0,224933,90713,7471,0.082358648,513400
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland-Vancouver-Hillsboro,OR-WA,Metro,0,0,1010265,434716,34586,0.079559989,570000
"Fort Collins-Loveland, CO Metro Area",Fort Collins-Loveland,CO,Metro,3,4175,154232,67544,5370,0.079503731,576200
"Wenatchee-East Wenatchee, WA Metro Area",Wenatchee-East Wenatchee,WA,Metro,0,0,47443,18192,1433,0.078770888,489000
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville-Davidson--Murfreesboro--Franklin,TN,Metro,6,7600,829134,360701,28392,0.078713394,422100
"North Port-Bradenton-Sarasota, FL Metro Area",North Port-Bradenton-Sarasota,FL,Metro,0,0,388951,146117,11273,0.077150503,425900
"Salt Lake City-Murray, UT Metro Area",Salt Lake City-Murray,UT,Metro,3,2610,450170,212636,16363,0.076953103,520000
"Ellensburg, WA Micro Area",Ellensburg,WA,Micro,3,4175,19993,7242,555,0.076636288,497900
"Seneca, SC Micro Area",Seneca,SC,Micro,0,0,34515,12275,936,0.076252546,269500
"Missoula, MT Metro Area",Missoula,MT,Metro,2,1050,54829,20608,1571,0.076232531,480800
"Stockton-Lodi, CA Metro Area",Stockton-Lodi,CA,Metro,6,7600,245250,106053,7641,0.072048881,561000
"Boone, NC Micro Area",Boone,NC,Micro,0,0,21198,6676,479,0.071749551,388100
"St. George, UT Metro Area",St. George,UT,Metro,2,2325,69786,30130,2158,0.071622967,507900
"Trenton-Princeton, NJ Metro Area",Trenton-Princeton,NJ,Metro,2,2325,144114,55801,3967,0.071091916,397900
"Kill Devil Hills, NC Micro Area",Kill Devil Hills,NC,Micro,20,30671,16836,7969,566,0.071025223,458100
"Ukiah, CA Micro Area",Ukiah,CA,Micro,2,1200,34842,10952,770,0.070306793,528900
"Provo-Orem-Lehi, UT Metro Area",Provo-Orem-Lehi,UT,Metro,2,2325,206880,103517,7255,0.070085107,542800
"Phoenix-Mesa-Chandler, AZ Metro Area",Phoenix-Mesa-Chandler,AZ,Metro,1,375,1892613,834865,58201,0.069713067,457400
"Vallejo, CA Metro Area",Vallejo,CA,Metro,0,0,157512,71552,4958,0.069292263,630100
"Flagstaff, AZ Metro Area",Flagstaff,AZ,Metro,0,0,55118,16701,1136,0.068019879,531200
"Boise City, ID Metro Area",Boise City,ID,Metro,18,43250,304187,148100,9570,0.064618501,470200
"Charlottesville, VA Metro Area",Charlottesville,VA,Metro,50,336933,90452,38421,2451,0.063793238,437400
"Hudson, NY Micro Area",Hudson,NY,Micro,3,12150,26627,10808,684,0.063286454,348600
"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside-San Bernardino-Ontario,CA,Metro,2,2325,1450250,655413,40700,0.06209825,566700
"Brenham, TX Micro Area",Brenham,TX,Micro,3,9021,15481,4668,278,0.059554413,294900
"Torrington, CT Micro Area",Torrington,CT,Micro,0,0,47845,22516,1327,0.058935868,342300
"Murrells Inlet, SC Micro Area",Murrells Inlet,SC,Micro,1,375,27129,11105,652,0.058712292,323700
"Eureka-Arcata, CA Micro Area",Eureka-Arcata,CA,Micro,3,12150,54922,16505,965,0.058467131,457300
"Spirit Lake, IA Micro Area",Spirit Lake,IA,Micro,0,0,8845,3696,215,0.058170996,248100
"Seaford, DE Micro Area",Seaford,DE,Micro,50,336933,106441,48815,2785,0.057052136,393900
"Sulphur Springs, TX Micro Area",Sulphur Springs,TX,Micro,6,12660,14002,4085,232,0.056793146,242800
"Ocean Pines, MD Micro Area",Ocean Pines,MD,Micro,0,0,24136,10946,615,0.056184908,391000
"Asheville, NC Metro Area",Asheville,NC,Metro,1,375,161264,61262,3441,0.056168587,393700
"Atlantic City-Hammonton, NJ Metro Area",Atlantic City-Hammonton,NJ,Metro,2,2325,154441,66405,3701,0.055733755,342300
"Medford, OR Metro Area",Medford,OR,Metro,6,12660,92035,37106,2065,0.055651377,444500
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte-Concord-Gastonia,NC-SC,Metro,3,2610,1076260,481803,26212,0.054403978,378700
"Portland-South Portland, ME Metro Area",Portland-South Portland,ME,Metro,6,12660,240027,111220,6019,0.054117964,425700
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",Sebastian-Vero Beach-West Vero Corridor,FL,Metro,1,4600,70816,26642,1437,0.053937392,345900
"Oxford, MS Micro Area",Oxford,MS,Micro,2,2300,24040,8030,432,0.053798257,292900
"Clearlake, CA Micro Area",Clearlake,CA,Micro,3,2610,26940,10262,549,0.053498343,366300
"Brunswick-St. Simons, GA Metro Area",Brunswick-St. Simons,GA,Metro,0,0,47209,17165,892,0.05196621,286300
"Traverse City, MI Metro Area",Traverse City,MI,Metro,6,7600,65429,31860,1612,0.050596359,324600
"Durham-Chapel Hill, NC Metro Area",Durham-Chapel Hill,NC,Metro,2,2325,248256,99286,4939,0.049745181,407200
"Prescott Valley-Prescott, AZ Metro Area",Prescott Valley-Prescott,AZ,Metro,3,12150,111157,45476,2232,0.049080834,436000
"Gainesville, TX Micro Area",Gainesville,TX,Micro,2,2300,16528,5508,265,0.048111837,256100
